id x y status inf_cout
750 476 115 SUSCEPTIBLE 0
751 675 228 INFECTED 1
752 391 294 INFECTED 1
753 627 854 INFECTED 1
754 98 629 SUSCEPTIBLE 0
755 524 981 SUSCEPTIBLE 0
756 934 785 INFECTED 1
757 315 166 SUSCEPTIBLE 0
758 138 103 INFECTED 1
759 138 465 INFECTED 1
760 32 758 SUSCEPTIBLE 0
761 885 963 SUSCEPTIBLE 0
762 706 466 INFECTED 1
763 938 411 SUSCEPTIBLE 0
764 796 338 SUSCEPTIBLE 0
765 504 637 INFECTED 1
766 311 823 INFECTED 1
767 651 22 SUSCEPTIBLE 0
768 176 206 INFECTED 1
769 748 828 INFECTED 1
770 355 583 SUSCEPTIBLE 0
771 724 401 SUSCEPTIBLE 0
772 739 869 SUSCEPTIBLE 0
773 981 684 SUSCEPTIBLE 0
774 508 561 SUSCEPTIBLE 0
775 152 226 INFECTED 1
776 570 419 SUSCEPTIBLE 0
777 966 399 INFECTED 1
778 510 656 INFECTED 1
779 583 939 SUSCEPTIBLE 0
