id x y status inf_cout
651 802 13 SUSCEPTIBLE 0
652 15 619 SUSCEPTIBLE 0
653 473 101 INFECTED 1
654 936 329 SUSCEPTIBLE 0
655 912 772 SUSCEPTIBLE 0
656 362 505 SUSCEPTIBLE 0
657 681 378 INFECTED 1
658 757 156 SUSCEPTIBLE 0
659 887 979 SUSCEPTIBLE 0
660 318 372 INFECTED 1
661 473 260 SUSCEPTIBLE 0
662 590 861 INFECTED 1
663 353 9 INFECTED 1
664 515 80 SUSCEPTIBLE 0
665 177 199 SUSCEPTIBLE 0
666 74 5 INFECTED 1
667 985 75 SUSCEPTIBLE 0
668 447 809 SUSCEPTIBLE 0
669 71 98 INFECTED 1
670 678 660 SUSCEPTIBLE 0
671 669 322 INFECTED 1
672 121 865 SUSCEPTIBLE 0
673 783 832 SUSCEPTIBLE 0
674 838 169 INFECTED 1
675 962 840 INFECTED 1
676 369 101 INFECTED 1
677 199 258 INFECTED 1
678 918 142 SUSCEPTIBLE 0
679 464 534 SUSCEPTIBLE 0
680 400 314 SUSCEPTIBLE 0
681 147 275 SUSCEPTIBLE 0
682 164 18 SUSCEPTIBLE 0
683 577 815 SUSCEPTIBLE 0
684 916 745 INFECTED 1
685 4 647 INFECTED 1
686 789 499 SUSCEPTIBLE 0
687 753 600 SUSCEPTIBLE 0
688 633 600 INFECTED 1
689 595 256 INFECTED 1
690 993 454 SUSCEPTIBLE 0
691 988 862 INFECTED 1
692 327 627 SUSCEPTIBLE 0
693 993 331 INFECTED 1
694 830 82 INFECTED 1
695 401 474 SUSCEPTIBLE 0
696 793 672 SUSCEPTIBLE 0
697 647 741 SUSCEPTIBLE 0
698 914 755 SUSCEPTIBLE 0
699 337 452 SUSCEPTIBLE 0
700 798 427 SUSCEPTIBLE 0
701 758 847 SUSCEPTIBLE 0
702 929 491 INFECTED 1
703 684 508 SUSCEPTIBLE 0
704 899 622 INFECTED 1
705 84 175 INFECTED 1
706 930 123 SUSCEPTIBLE 0
707 295 870 SUSCEPTIBLE 0
708 298 88 SUSCEPTIBLE 0
709 935 621 INFECTED 1
710 831 698 INFECTED 1
711 926 721 INFECTED 1
712 64 459 INFECTED 1
713 634 4 SUSCEPTIBLE 0
714 127 769 SUSCEPTIBLE 0
715 359 924 SUSCEPTIBLE 0
716 14 280 SUSCEPTIBLE 0
717 901 521 SUSCEPTIBLE 0
718 220 889 SUSCEPTIBLE 0
719 330 560 SUSCEPTIBLE 0
720 21 506 SUSCEPTIBLE 0
721 510 128 SUSCEPTIBLE 0
722 897 213 SUSCEPTIBLE 0
723 856 453 SUSCEPTIBLE 0
724 733 71 SUSCEPTIBLE 0
725 592 513 SUSCEPTIBLE 0
726 122 933 SUSCEPTIBLE 0
727 495 529 SUSCEPTIBLE 0
728 754 546 SUSCEPTIBLE 0
729 674 550 SUSCEPTIBLE 0
730 482 559 SUSCEPTIBLE 0
731 14 623 INFECTED 1
732 413 189 SUSCEPTIBLE 0
733 421 348 SUSCEPTIBLE 0
734 1 92 SUSCEPTIBLE 0
735 621 719 SUSCEPTIBLE 0
736 984 342 INFECTED 1
737 892 142 SUSCEPTIBLE 0
738 701 378 SUSCEPTIBLE 0
739 2 646 INFECTED 1
740 555 442 SUSCEPTIBLE 0
741 790 833 SUSCEPTIBLE 0
742 926 674 INFECTED 1
743 113 458 INFECTED 1
744 800 163 SUSCEPTIBLE 0
745 24 586 INFECTED 1
746 964 225 INFECTED 1
747 590 781 INFECTED 1
748 224 397 INFECTED 1
749 232 83 INFECTED 1
750 476 971 SUSCEPTIBLE 0
751 149 228 INFECTED 1
752 391 322 INFECTED 1
753 627 872 INFECTED 1
754 98 741 SUSCEPTIBLE 0
755 524 537 SUSCEPTIBLE 0
756 934 397 INFECTED 1
757 199 166 SUSCEPTIBLE 0
758 138 909 INFECTED 1
759 138 827 INFECTED 1
760 150 758 SUSCEPTIBLE 0
761 631 963 SUSCEPTIBLE 0
762 706 526 INFECTED 1
763 64 411 SUSCEPTIBLE 0
764 808 338 SUSCEPTIBLE 0
765 504 369 INFECTED 1
766 997 823 INFECTED 1
